crawl_date,metric,value,percentage
2026-04-13,All,44,100.00%
2026-04-13,Pages With High Crawl Depth,0,0.00%
2026-04-13,Pages Without Internal Outlinks,0,0.00%
2026-04-13,Internal Nofollow Outlinks,0,0.00%
2026-04-13,Internal Outlinks With No Anchor Text,1,2.27%
2026-04-13,Non-Descriptive Anchor Text In Internal Outlinks,0,0.00%
2026-04-13,Pages With High External Outlinks,0,0.00%
2026-04-13,Pages With High Internal Outlinks,0,0.00%
2026-04-13,Follow & Nofollow Internal Inlinks To Page,0,0.00%
2026-04-13,Internal Nofollow Inlinks Only,0,0.00%
2026-04-13,Outlinks To Localhost,0,0.00%
2026-04-13,Non-Indexable Page Inlinks Only,0,0.00%
2026-04-13,All,0,0.00%
2026-04-13,Non-200 Response,0,0.00%
2026-04-13,Missing Non-AMP Return Link,0,0.00%
2026-04-13,Missing Canonical to Non-AMP,0,0.00%
2026-04-13,Non-Indexable Canonical,0,0.00%
2026-04-13,Indexable,0,0.00%
2026-04-13,Non-Indexable,0,0.00%
2026-04-13,Missing <html amp> Tag,0,0.00%
2026-04-13,Missing/Invalid <!doctype html> Tag,0,0.00%
2026-04-13,Missing <head> Tag,0,0.00%
2026-04-13,Missing <body> Tag,0,0.00%
2026-04-13,Missing Canonical,0,0.00%
2026-04-13,Missing/Invalid <meta charset> Tag,0,0.00%
2026-04-13,Missing/Invalid <meta viewport> Tag,0,0.00%
2026-04-13,Missing/Invalid AMP Script,0,0.00%
2026-04-13,Missing/Invalid AMP Boilerplate,0,0.00%
2026-04-13,Contains Disallowed HTML,0,0.00%
2026-04-13,Other Validation Errors,0,0.00%
2026-04-13,All,44,100.00%
2026-04-13,Contains Structured Data,0,0.00%
2026-04-13,Missing,0,0.00%
2026-04-13,Validation Errors,0,0.00%
2026-04-13,Validation Warnings,0,0.00%
2026-04-13,Rich Result Validation Errors,0,0.00%
2026-04-13,Rich Result Validation Warnings,0,0.00%
2026-04-13,Parse Errors,0,0.00%
2026-04-13,Microdata URLs,0,0.00%
2026-04-13,JSON-LD URLs,0,0.00%
2026-04-13,RDFa URLs,0,0.00%
2026-04-13,Rich Result Feature Detected,0,0.00%
2026-04-13,All,88,100.00%
2026-04-13,URLs in Sitemap,0,0.00%
2026-04-13,URLs not in Sitemap,0,0.00%
2026-04-13,Orphan URLs,0,0.00%
2026-04-13,Non-Indexable URLs in Sitemap,0,0.00%
2026-04-13,URLs in Multiple Sitemaps,0,0.00%
2026-04-13,XML Sitemap with over 50k URLs,0,0.00%
2026-04-13,XML Sitemap over 50MB,0,0.00%
2026-04-13,All,44,100.00%
2026-04-13,Document Request Latency,0,0.00%
2026-04-13,LCP Request Discovery,0,0.00%
2026-04-13,Render Blocking Requests,0,0.00%
2026-04-13,Network Dependency Tree,0,0.00%
2026-04-13,Use Efficient Cache Lifetimes,0,0.00%
2026-04-13,Layout Shift Culprits,0,0.00%
2026-04-13,Optimize DOM Size,0,0.00%
2026-04-13,Improve Image Delivery,0,0.00%
2026-04-13,Forced Reflow,0,0.00%
2026-04-13,Legacy JavaScript,0,0.00%
2026-04-13,Duplicated JavaScript,0,0.00%
2026-04-13,Font Display,0,0.00%
2026-04-13,Avoid Enormous Network Payloads,0,0.00%
2026-04-13,Minify CSS,0,0.00%
2026-04-13,Minify JavaScript,0,0.00%
2026-04-13,Reduce Unused CSS,0,0.00%
2026-04-13,Reduce Unused JavaScript,0,0.00%
2026-04-13,Reduce JavaScript Execution Time,0,0.00%
2026-04-13,Minimize Main-Thread Work,0,0.00%
2026-04-13,Request Errors,0,0.00%
2026-04-13,All,44,100.00%
2026-04-13,Viewport Not Set,0,0.00%
2026-04-13,Target Size,0,0.00%
2026-04-13,Content Not Sized Correctly,0,0.00%
2026-04-13,Illegible Font Size,0,0.00%
2026-04-13,Contains Unsupported Plugins,0,0.00%
2026-04-13,Mobile Alternate Link,0,0.00%
2026-04-13,All,44,100.00%
2026-04-13,Accessibility Score Poor,0,0.00%
2026-04-13,Accessibility Score Needs Improvement,0,0.00%
2026-04-13,Accessibility Score Good,0,0.00%
2026-04-13,WCAG 2.0 A Violation,0,0.00%
2026-04-13,WCAG 2.0 AA Violation,0,0.00%
2026-04-13,WCAG 2.0 AAA Violation,0,0.00%
2026-04-13,WCAG 2.1 AA Violation,0,0.00%
2026-04-13,WCAG 2.2 AA Violation,0,0.00%
2026-04-13,Best Practice Violation,0,0.00%
2026-04-13,Accesskey Attribute Value Must Be Unique,0,0.00%
2026-04-13,Ensure Elements Marked Presentational Are Ignored,0,0.00%
2026-04-13,Elements Must Not Have Tabindex Greater Than Zero,0,0.00%
2026-04-13,Scrollable Region Requires Keyboard Access,0,0.00%
2026-04-13,Skip-link Target Should Exist & Be Focusable,0,0.00%
2026-04-13,Required ARIA Attributes Must Be Provided,0,0.00%
2026-04-13,Role=text Should Have No Focusable Descendants,0,0.00%
2026-04-13,ARIA Attribute Must Be Used As Specified For Role,0,0.00%
2026-04-13,ARIA Attributes Require Valid Values,0,0.00%
2026-04-13,ARIA Attributes Require Valid Names,0,0.00%
2026-04-13,ARIA Commands Require Accessible Name,0,0.00%
2026-04-13,ARIA Dialog & Alertdialog Require Accessible Name,0,0.00%
2026-04-13,ARIA Input Fields Require Accessible Name,0,0.00%
2026-04-13,ARIA Meter Nodes Require Accessible Name,0,0.00%
2026-04-13,ARIA Progressbar Nodes Require Accessible Name,0,0.00%
2026-04-13,ARIA Role Should Be Appropriate For Element,0,0.00%
2026-04-13,ARIA Roles Must Be Contained By Required Parent,0,0.00%
2026-04-13,ARIA Roles Require Valid Values,0,0.00%
2026-04-13,ARIA Toggle Fields Require Accessible Name,0,0.00%
2026-04-13,ARIA Tooltip Nodes Require Accessible Name,0,0.00%
2026-04-13,ARIA Treeitem Nodes Require Accessible Name,0,0.00%
2026-04-13,Certain ARIA Roles Must Contain Specific Children,0,0.00%
2026-04-13,Deprecated ARIA Roles Must Not Be Used,0,0.00%
2026-04-13,Aria-braille Require Non-braille Equivalent,0,0.00%
2026-04-13,Aria-hidden Elements Contains Focusable Elements,0,0.00%
2026-04-13,Aria-hidden=true Must Not Be Used In <body>,0,0.00%
2026-04-13,Elements Must Only Use Permitted ARIA Attributes,0,0.00%
2026-04-13,Elements Must Use Allowed ARIA Attributes,0,0.00%
2026-04-13,IDs Used In ARIA & Labels Must Be Unique,0,0.00%
2026-04-13,Page Requires Means To Bypass Repeated Blocks,0,0.00%
2026-04-13,All Page Content Must Be Contained By Landmarks,0,0.00%
2026-04-13,Page Requires One Main Landmark,0,0.00%
2026-04-13,Page Must Not Have More Than One Banner Landmark,0,0.00%
2026-04-13,Banner Landmark Must Not Be In Another Landmark,0,0.00%
2026-04-13,Page Must Not Have Multiple Contentinfo Landmarks,0,0.00%
2026-04-13,Page Requires At Most One Main Landmark,0,0.00%
2026-04-13,Complementary Landmarks & Asides Must Be Top Level,0,0.00%
2026-04-13,Contentinfo Landmark Must Be Top Level Landmark,0,0.00%
2026-04-13,Main Landmark Must Not Be In Another Landmark,0,0.00%
2026-04-13,Landmarks Require Unique Role Or Accessible Name,0,0.00%
2026-04-13,Form Field Must Not Have Multiple Label Elements,0,0.00%
2026-04-13,Form <input> Elements Require Labels,0,0.00%
2026-04-13,Form Elements Should Have Visible Label,0,0.00%
2026-04-13,Autocomplete Attribute Must Be Used Correctly,0,0.00%
2026-04-13,Frames Require Title Attribute,0,0.00%
2026-04-13,Frames Require Unique Title Attribute,0,0.00%
2026-04-13,Frames Should Be Tested With axe-core,0,0.00%
2026-04-13,Frames With Focusable Content Must Not Use tabindex=-1,0,0.00%
2026-04-13,Page Must Contain <title>,0,0.00%
2026-04-13,Page Must Contain <h1>,0,0.00%
2026-04-13,Heading Levels Should Only Increase By One,0,0.00%
2026-04-13,Headings Should Not Be Empty,0,0.00%
2026-04-13,Meta Viewport Should Allow Zoom & Scale Up to 500%,0,0.00%
2026-04-13,Meta Viewport Zoom & Scaling Disabled,0,0.00%
2026-04-13,HTML Element Lang Attribute Value Must Be Valid,0,0.00%
2026-04-13,HTML Element Requires Lang Attribute,0,0.00%
2026-04-13,HTML Lang & XML Lang Value Should Match,0,0.00%
2026-04-13,Lang Attribute Requires Valid Value,0,0.00%
2026-04-13,Delayed Meta Refresh Must Not Be Used,0,0.00%
2026-04-13,Timed Meta Refresh Must Not Exist,0,0.00%
2026-04-13,Image Button Requires Alternate Text,0,0.00%
2026-04-13,Images Require Alternate Text,0,0.00%
2026-04-13,<object> Elements Require Alternate Text,0,0.00%
2026-04-13,Active <area> Elements Require Alternate Text,0,0.00%
2026-04-13,Alt Text Should Not Be Repeated As Text,0,0.00%
2026-04-13,Elements Marked role=img Require Alternate Text,0,0.00%
2026-04-13,SVG Images & Graphics Require Accessible Text,0,0.00%
2026-04-13,Server-Side Image Maps Must Not Be Used,0,0.00%
2026-04-13,<video> Elements Require <track> For Captions,0,0.00%
2026-04-13,<video> or <audio> Elements Must Not Auto-play,0,0.00%
2026-04-13,Buttons Require Discernible Text,0,0.00%
2026-04-13,Input Buttons Require Discernible Text,0,0.00%
2026-04-13,Inline Text Spacing Must Be Adjustable,0,0.00%
2026-04-13,Links Must Be Distinguishable,0,0.00%
2026-04-13,Links Require Discernible Text,0,0.00%
2026-04-13,Links With Same Accessible Name,0,0.00%
2026-04-13,Select Element Requires Accessible Name,0,0.00%
2026-04-13,Summary Elements Require Discernible Text,0,0.00%
2026-04-13,Deprecated <marquee> Element Must Not Be Used,0,0.00%
2026-04-13,<blink> Elements Deprecated & Must Not Be Used,0,0.00%
2026-04-13,Text Requires Higher Color Contrast Ratio,0,0.00%
2026-04-13,Text Requires Higher Color Contrast to Background,0,0.00%
2026-04-13,Touch Targets Require Sufficient Size & Spacing,0,0.00%
2026-04-13,Interactive Controls Must Not Be Nested,0,0.00%
2026-04-13,List Items Must Be Contained In List Elements,0,0.00%
2026-04-13,Lists Must Only Contain <li> Content Elements,0,0.00%
2026-04-13,<dl> Must Only Have Ordered <dt> & <dd> Groups,0,0.00%
2026-04-13,<dt> & <dd> Elements Must Be Contained by <dl>,0,0.00%
2026-04-13,<th> Element Requires Associated Data Cells,0,0.00%
2026-04-13,Table Header Attr Must Refer To Cell In Same Table,0,0.00%
2026-04-13,Table Headers Require Discernible Text,0,0.00%
2026-04-13,Table With Identical Summary & Caption Text,0,0.00%
2026-04-13,Scope Attribute Should Be Used Correctly On Tables,0,0.00%
2026-04-13,All,44,100.00%
2026-04-13,All,44,100.00%
2026-04-13,All,86,100.00%
2026-04-13,All,88,100.00%
2026-04-13,Sessions Above 0,0,0.00%
2026-04-13,Bounce Rate Above 70%,0,0.00%
2026-04-13,No GA Data,0,0.00%
2026-04-13,Non-Indexable with GA Data,0,0.00%
2026-04-13,Orphan URLs,0,0.00%
2026-04-13,All,88,100.00%
2026-04-13,Clicks Above 0,0,0.00%
2026-04-13,No Search Analytics Data,0,0.00%
2026-04-13,Non-Indexable with Search Analytics Data,0,0.00%
2026-04-13,Orphan URLs,0,0.00%
2026-04-13,URL is Not on Google,0,0.00%
2026-04-13,Indexable URL Not Indexed,0,0.00%
2026-04-13,URL is on Google But Has Issues,0,0.00%
2026-04-13,User-Declared Canonical Not Selected,0,0.00%
2026-04-13,Page is Not Mobile Friendly,0,0.00%
2026-04-13,AMP URL Invalid,0,0.00%
2026-04-13,Rich Result Invalid,0,0.00%
2026-04-13,All,130,100.00%
2026-04-13,Invalid HTML Elements in <head>,0,0.00%
